20210419 000000,56150.01000000,57526.81000000,46930.00000000,49066.77000000,55839.77000000,54903.47000000,43882.59550000,59.04566207,9872.42078415,9977.90639084,55839.77000000,54903.47000000,43882.59550000,59.04566207,9872.42078415,9977.90639084
20210426 000000,49066.76000000,58458.07000000,48753.44000000,56578.21000000,55999.88600000,54820.43400000,45752.75650000,65.76719136,9608.97509856,9904.12013239,55999.88600000,54820.43400000,45752.75650000,65.76719136,9608.97509856,9904.12013239
20210503 000000,56578.21000000,59500.00000000,52900.00000000,58240.84000000,56007.65200000,56130.95200000,47492.02250000,66.13151660,9425.69924691,9808.43595529,56007.65200000,56130.95200000,47492.02250000,66.13151660,9425.69924691,9808.43595529
20210510 000000,58240.83000000,59500.00000000,43825.39000000,46431.50000000,53293.46600000,55676.92700000,48499.51450000,54.54225959,8232.63606688,9493.27597761,53293.46600000,55676.92700000,48499.51450000,54.54225959,8232.63606688,9493.27597761
20210517 000000,46426.83000000,46686.00000000,30000.00000000,34655.25000000,48994.51400000,53245.62100000,48582.27450000,41.90993448,6264.66478831,8847.55373975,48994.51400000,53245.62100000,48582.27450000,41.90993448,6264.66478831,8847.55373975
20210524 000000,34681.44000000,40841.00000000,33379.00000000,35641.27000000,46309.41400000,51074.59200000,48456.83700000,36.08271257,4730.07162376,8024.05731655,46309.41400000,51074.59200000,48456.83700000,36.08271257,4730.07162376,8024.05731655
20210531 000000,35641.26000000,39476.00000000,34153.84000000,35796.31000000,42153.03400000,49076.46000000,48455.22200000,42.93378282,3486.21895496,7116.48964423,42153.03400000,49076.46000000,48455.22200000,42.93378282,3486.21895496,7116.48964423
20210607 000000,35796.31000000,39380.00000000,31000.00000000,39020.57000000,38308.98000000,47158.31600000,48793.25550000,40.58557162,2729.16744573,6239.02520453,38308.98000000,47158.31600000,48793.25550000,40.58557162,2729.16744573,6239.02520453
20210614 000000,39020.56000000,41330.00000000,33336.00000000,35600.16000000,36142.71200000,44718.08900000,48918.61450000,30.16169204,1832.08107872,5357.63637937,36142.71200000,44718.08900000,48918.61450000,30.16169204,1832.08107872,5357.63637937
20210621 000000,35600.17000000,35750.00000000,28805.00000000,34700.34000000,36151.73000000,42573.12200000,48713.84700000,30.53336565,1036.57670481,4493.42444446,36151.73000000,42573.12200000,48713.84700000,30.53336565,1036.57670481,4493.42444446
20210628 000000,34702.49000000,36600.00000000,32699.00000000,35286.51000000,36080.77800000,41195.09600000,48049.28300000,32.08562620,448.26545226,3684.39264602,36080.77800000,41195.09600000,48049.28300000,32.08562620,448.26545226,3684.39264602
20210705 000000,35288.13000000,35293.78000000,32077.00000000,34258.99000000,35773.31400000,38963.17400000,46891.80400000,28.54375071,-99.73801287,2927.56651424,35773.31400000,38963.17400000,46891.80400000,28.54375071,-99.73801287,2927.56651424
20210712 000000,34259.00000000,34678.43000000,31020.00000000,31778.56000000,34324.91200000,36316.94600000,46223.94900000,25.01206286,-725.81790135,2196.88963112,34324.91200000,36316.94600000,46223.94900000,25.01206286,-725.81790135,2196.88963112
20210719 000000,31778.57000000,35398.00000000,29278.00000000,35381.02000000,34281.08400000,35211.89800000,45444.41250000,31.53047673,-920.68917693,1573.37386951,34281.08400000,35211.89800000,45444.41250000,31.53047673,-920.68917693,1573.37386951
20210726 000000,35381.02000000,42599.00000000,35205.78000000,39845.44000000,35310.10400000,35730.91700000,44488.26900000,41.39900956,-706.73784952,1117.35152571,35310.10400000,35730.91700000,44488.26900000,41.39900956,-706.73784952,1117.35152571
20210802 000000,39850.27000000,45310.00000000,37332.70000000,43794.37000000,37011.67600000,36546.22700000,43810.40950000,37.22732332,-216.04381408,850.67245775,37011.67600000,36546.22700000,43810.40950000,37.22732332,-216.04381408,850.67245775
20210809 000000,43794.36000000,48144.00000000,42779.00000000,46973.82000000,39554.64200000,37663.97800000,43370.21900000,39.07398529,424.49645658,765.43725751,39554.64200000,37663.97800000,43370.21900000,39.07398529,424.49645658,765.43725751
20210816 000000,46973.82000000,49757.04000000,43927.70000000,49239.22000000,43046.77400000,38685.84300000,42922.07950000,53.34120483,1102.22235004,832.79427602,43046.77400000,38685.84300000,42922.07950000,53.34120483,1102.22235004,832.79427602
20210823 000000,49239.22000000,50500.00000000,46250.00000000,48767.83000000,45724.13600000,40002.61000000,42360.34950000,72.97588673,1583.03947625,982.84331607,45724.13600000,40002.61000000,42360.34950000,72.97588673,1583.03947625,982.84331607
20210830 000000,48767.84000000,51900.00000000,46512.00000000,51756.88000000,48106.42400000,41708.26400000,42140.69300000,74.63049542,2180.15045005,1222.30474286,48106.42400000,41708.26400000,42140.69300000,74.63049542,2180.15045005,1222.30474286
20210906 000000,51756.88000000,52920.00000000,42843.05000000,46025.24000000,48552.59800000,42782.13700000,41988.61650000,63.35671111,2165.90257540,1411.02430937,48552.59800000,42782.13700000,41988.61650000,63.35671111,2165.90257540,1411.02430937
20210913 000000,46025.23000000,48843.20000000,43370.00000000,47241.75000000,48606.18400000,44080.41300000,41521.79350000,61.32905776,2227.10059297,1574.23956609,48606.18400000,44080.41300000,41521.79350000,61.32905776,2227.10059297,1574.23956609
20210920 000000,47241.75000000,47347.25000000,39600.00000000,43160.90000000,47390.52000000,45218.64700000,40767.79650000,60.23269247,1924.12980225,1644.21761332,47390.52000000,45218.64700000,40767.79650000,60.23269247,1924.12980225,1644.21761332
20210927 000000,43160.90000000,49228.08000000,40753.88000000,48200.01000000,47276.95600000,46500.54600000,40856.22200000,66.42961999,2066.81240438,1728.73657153,47276.95600000,46500.54600000,40856.22200000,66.42961999,2066.81240438,1728.73657153
20211004 000000,48200.01000000,56561.31000000,46891.00000000,54659.00000000,47857.38000000,47981.90200000,41856.40950000,70.62827766,2670.29441568,1917.04814036,47857.38000000,47981.90200000,41856.40950000,70.62827766,2670.29441568,1917.04814036
20211011 000000,54659.01000000,62933.00000000,53879.00000000,61528.33000000,50957.99800000,49755.29800000,43150.76250000,75.82423639,3660.65799244,2265.77011078,50957.99800000,49755.29800000,43150.76250000,75.82423639,3660.65799244,2265.77011078
20211018 000000,61528.32000000,67000.00000000,59510.63000000,60852.22000000,53680.09200000,51143.13800000,44403.55800000,78.50714324,4340.93227062,2680.80254275,53680.09200000,51143.13800000,44403.55800000,78.50714324,4340.93227062,2680.80254275
20211025 000000,60852.22000000,63710.63000000,57820.00000000,61299.80000000,57307.87200000,52349.19600000,45517.51950000,77.08972808,4860.14576754,3116.67118771,57307.87200000,52349.19600000,45517.51950000,77.08972808,4860.14576754,3116.67118771
20211101 000000,61299.81000000,64270.00000000,59405.00000000,63273.59000000,60322.58800000,53799.77200000,46901.19100000,75.83144002,5369.00402560,3567.13775529,60322.58800000,53799.77200000,46901.19100000,75.83144002,5369.00402560,3567.13775529
20211108 000000,63273.58000000,69000.00000000,62278.00000000,65519.10000000,62494.60800000,55175.99400000,48442.12900000,74.88815941,5885.62591981,4030.83538819,62494.60800000,55175.99400000,48442.12900000,74.88815941,5885.62591981,4030.83538819
