20200312 160000,6132.13000000,6229.97000000,5947.72000000,6037.45000000
20200312 200000,6036.28000000,6059.99000000,4410.00000000,4800.00000000
20200313 000000,4800.01000000,5523.23000000,3782.13000000,5167.26000000
20200313 040000,5159.09000000,5444.00000000,4674.00000000,5385.87000000
20200313 080000,5386.11000000,5700.00000000,5126.00000000,5403.56000000
20200313 120000,5403.56000000,5955.00000000,4920.00000000,5212.37000000
20200313 160000,5207.63000000,5525.00000000,4807.00000000,5391.08000000
20200313 200000,5397.16000000,5699.00000000,5187.39000000,5578.60000000
20200314 000000,5576.05000000,5640.52000000,5322.02000000,5573.97000000
20200314 040000,5573.67000000,5573.71000000,5371.76000000,5500.40000000
