20200312 120000,6064.27000000,6307.59000000,4410.00000000,4800.00000000,6903.59000000,7509.26000000,8228.49550000,8.72929034,,
20200313 000000,4800.01000000,5700.00000000,3782.13000000,5403.56000000,6405.39000000,7175.46300000,8055.76250000,17.24351442,,
20200313 120000,5403.56000000,5955.00000000,4807.00000000,5578.60000000,5956.73800000,6929.99200000,7896.68900000,19.66120219,-782.99197907,-433.37547092
20200314 000000,5576.05000000,5640.52000000,5173.00000000,5448.38000000,5459.51000000,6694.33800000,7733.25200000,19.37227216,-838.55890513,-514.41215776
20200314 120000,5448.23000000,5498.00000000,5055.13000000,5172.06000000,5280.52000000,6418.55700000,7554.31150000,19.13409957,-894.58064030,-590.44585427
20200315 000000,5172.48000000,5487.00000000,5093.10000000,5429.99000000,5406.51800000,6155.05400000,7370.76650000,22.98959890,-907.70204945,-653.89709330
20200315 120000,5430.00000000,5940.00000000,5160.00000000,5361.30000000,5398.06600000,5901.72800000,7186.09750000,25.66736908,-913.11771703,-705.74121805
20200316 000000,5360.33000000,5365.42000000,4442.12000000,4565.59000000,5195.46400000,5576.10100000,6957.98100000,23.26363383,-970.43030311,-758.67903506
20200316 120000,4565.63000000,5200.00000000,4500.00000000,5028.97000000,5111.58200000,5285.54600000,6752.83550000,27.32375077,-967.30950528,-800.40512910
20200317 000000,5028.86000000,5440.00000000,4921.45000000,5267.61000000,5130.69200000,5205.60600000,6561.76600000,28.48089873,-934.80415649,-827.28493458
20200317 120000,5266.90000000,5525.00000000,5051.00000000,5312.64000000,5107.22200000,5256.87000000,6383.06500000,29.74774096,-895.09182730,-840.84631312
20200318 000000,5312.64000000,5436.17000000,5010.98000000,5140.39000000,5063.04000000,5230.55300000,6203.00800000,29.29030963,-867.51844316,-846.18073913
20200318 120000,5141.48000000,5412.00000000,5009.37000000,5393.04000000,5228.53000000,5211.99700000,6070.99450000,30.78694394,-815.87469839,-840.11953098
20200319 000000,5393.26000000,5661.00000000,5252.53000000,5621.86000000,5347.10800000,5229.34500000,5961.84150000,45.52635546,-747.86191035,-821.66800686
20200319 120000,5622.15000000,6400.00000000,5608.21000000,6162.37000000,5526.06000000,5328.37600000,5873.46650000,66.03259782,-642.93528826,-785.92146314
20200320 000000,6162.05000000,6900.00000000,6055.55000000,6659.99000000,5795.53000000,5451.37600000,5803.21500000,65.16398290,-513.70474060,-731.47811863
20200320 120000,6659.99000000,6714.53000000,5670.00000000,6208.36000000,6009.12400000,5536.08200000,5718.90500000,57.12494909,-442.62901533,-673.70829797
20200321 000000,6204.57000000,6380.00000000,5860.02000000,6118.72000000,6154.26000000,5691.39500000,5633.74800000,57.65434523,-389.04946972,-616.77653232
20200321 120000,6116.58000000,6456.98000000,6043.00000000,6186.98000000,6267.28400000,5807.19600000,5546.37100000,62.16708705,-337.19233889,-560.85969363
20200322 000000,6187.04000000,6407.87000000,6104.00000000,6153.57000000,6265.52400000,5895.79200000,5550.69900000,59.16796748,-295.38607013,-507.76496893
20200322 120000,6153.77000000,6156.53000000,5734.01000000,5816.19000000,6096.76400000,5946.14700000,5601.50850000,55.39617503,-286.17915221,-463.44780559
20200323 000000,5816.05000000,5993.24000000,5688.00000000,5843.29000000,6023.75000000,6016.43700000,5623.49500000,68.53716428,-273.54263074,-425.46677062
20200323 120000,5842.14000000,6600.00000000,5841.73000000,6467.31000000,6093.46800000,6123.86400000,5667.93050000,69.93839688,-210.74555403,-382.52252730
20200324 000000,6465.25000000,6833.00000000,6371.33000000,6731.00000000,6202.27200000,6234.77800000,5732.06150000,70.14573198,-138.10880670,-333.63978318
20200324 120000,6733.16000000,6792.15000000,6461.01000000,6744.72000000,6320.50200000,6293.01300000,5810.69450000,69.88613325,-78.53131170,-282.61808889
