Date,Open,High,Low,Close,20sma
2019-06-26,11821.28000000,13970.00000000,10525.10000000,12400.63000000,8312.866
2019-06-29,12407.06000000,12441.54000000,10030.00000000,10624.93000000,8569.469000000001
2019-07-02,10624.90000000,12000.00000000,9727.00000000,11145.67000000,8837.9715
2019-07-05,11145.67000000,11665.00000000,10796.44000000,11406.24000000,9108.919
2019-07-08,11410.00000000,13147.08000000,11220.00000000,12108.37000000,9360.5265
2019-07-11,12108.11000000,12111.73000000,10830.00000000,11355.76000000,9530.9365
2019-07-14,11355.78000000,11452.00000000,9350.01000000,9439.59000000,9635.153
2019-07-17,9430.17000000,10788.00000000,9060.00000000,10504.29000000,9763.460000000001
2019-07-20,10505.78000000,11068.99000000,10100.00000000,10340.31000000,9887.9
2019-07-23,10343.08000000,10343.97000000,9525.00000000,9879.87000000,9951.172
2019-07-26,9882.15000000,10188.66000000,9165.00000000,9541.54000000,9995.965
2019-07-29,9541.54000000,10109.80000000,9395.00000000,10080.53000000,10072.788
2019-08-01,10080.53000000,10904.77000000,9863.46000000,10816.86000000,10229.2795
2019-08-04,10816.86000000,12330.70000000,10552.00000000,11481.69000000,10404.3375
2019-08-07,11481.69000000,12141.17000000,11382.84000000,11879.99000000,10599.1995
2019-08-10,11879.98000000,11985.00000000,11112.11000000,11396.08000000,10758.0765
2019-08-13,11398.35000000,11456.16000000,9911.00000000,10293.93000000,10825.1065
2019-08-16,10296.77000000,10536.03000000,9750.00000000,10306.78000000,10877.670999999998
2019-08-19,10306.17000000,10949.96000000,9858.00000000,10142.57000000,10848.324499999999
2019-08-22,10140.82000000,10445.00000000,9762.00000000,10134.35000000,10763.999
2019-08-25,10134.61000000,10604.00000000,9906.97000000,10185.05000000,10653.22
2019-08-28,10185.69000000,10299.00000000,9320.00000000,9584.54000000,10601.2005
2019-08-31,9582.76000000,10450.00000000,9420.75000000,10340.00000000,10560.917
2019-09-03,10340.00000000,10900.00000000,10272.00000000,10564.49000000,10518.829500000002
2019-09-06,10563.13000000,10905.87000000,10150.00000000,10381.18000000,10432.470000000001
2019-09-09,10381.24000000,10480.00000000,9880.00000000,10158.33000000,10372.5985
2019-09-12,10158.75000000,10448.81000000,10040.00000000,10335.02000000,10417.37
2019-09-15,10332.81000000,10360.00000000,10078.00000000,10187.82000000,10401.5465
2019-09-18,10187.48000000,10325.00000000,9653.00000000,10168.59000000,10392.9605
2019-09-21,10167.92000000,10176.70000000,9615.77000000,9702.25000000,10384.0795
2019-09-24,9702.20000000,9794.99000000,7750.00000000,8063.73000000,10310.189
2019-09-27,8063.49000000,8315.00000000,7852.15000000,8043.82000000,10208.353500000001
2019-09-30,8043.04000000,8500.00000000,7710.00000000,8359.94000000,10085.507500000002
2019-10-03,8360.00000000,8393.00000000,8005.00000000,8126.19000000,9917.732500000002
2019-10-06,8127.55000000,8325.00000000,7762.00000000,8168.39000000,9732.1525
2019-10-09,8170.79000000,8779.51000000,8115.00000000,8258.50000000,9575.2735
2019-10-12,8257.95000000,8451.37000000,8160.00000000,8348.20000000,9477.987000000001
2019-10-15,8346.86000000,8403.00000000,7917.00000000,8070.58000000,9366.177
2019-10-18,8070.71000000,8297.00000000,7816.01000000,8223.35000000,9270.216
2019-10-21,8223.35000000,8333.00000000,7300.00000000,7466.62000000,9136.8295
2019-10-24,7468.47000000,10370.00000000,7337.99000000,9230.00000000,9089.077000000001
2019-10-27,9230.00000000,9902.10000000,9072.00000000,9407.62000000,9080.231
2019-10-30,9407.62000000,9409.84000000,8913.00000000,9231.61000000,9024.8115
2019-11-02,9231.40000000,9513.68000000,9066.14000000,9393.35000000,8966.2545
2019-11-05,9392.40000000,9454.95000000,9101.00000000,9216.20000000,8908.0055
2019-11-08,9214.00000000,9261.00000000,8696.00000000,9039.47000000,8852.0625
2019-11-11,9040.16000000,9072.32000000,8567.60000000,8777.12000000,8774.1675
2019-11-14,8777.54000000,8800.00000000,8400.00000000,8491.02000000,8689.327500000001
2019-11-17,8490.74000000,8635.00000000,8003.00000000,8133.64000000,8587.58
2019-11-20,8133.83000000,8264.29000000,6790.00000000,7268.23000000,8465.879
2019-11-23,7268.23000000,7377.69000000,6515.00000000,7109.57000000,8418.171
2019-11-26,7109.99000000,7655.00000000,6840.00000000,7419.49000000,8386.9545
2019-11-29,7418.52000000,7850.00000000,7210.00000000,7390.89000000,8338.502
2019-12-02,7391.50000000,7750.00000000,7067.00000000,7194.32000000,8291.9085
2019-12-05,7194.59000000,7619.62000000,7150.00000000,7488.21000000,8257.899500000001
2019-12-08,7487.31000000,7650.00000000,7157.10000000,7224.13000000,8206.181
2019-12-11,7224.15000000,7309.05000000,7080.30000000,7258.48000000,8151.695
2019-12-14,7257.37000000,7271.77000000,6836.00000000,6891.72000000,8092.752
2019-12-17,6891.44000000,7440.00000000,6435.00000000,7150.30000000,8039.099499999999
