Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20180820 00:00:00,6477.53000000,6882.54000000,6220.00000000,6700.00000000,6944.21000000,6767.47300000,7468.46500000,38.89657352,-552.49150435,-521.16330851
20180827 00:00:00,6700.00000000,7345.45000000,6646.50000000,7302.01000000,6762.41200000,6883.97700000,7415.81550000,49.75801977,-488.77758578,-514.68616396
20180903 00:00:00,7302.00000000,7410.00000000,6111.00000000,6250.81000000,6607.73600000,6873.37700000,7289.00500000,41.20210892,-517.14556883,-515.17804494
20180910 00:00:00,6252.26000000,6584.99000000,6169.68000000,6505.00000000,6647.07000000,6852.66700000,7143.30500000,48.29446980,-513.20053482,-514.78254291
20180917 00:00:00,6500.08000000,6839.03000000,6123.00000000,6708.00000000,6693.16400000,6888.16600000,6995.75450000,51.72040018,-488.06752488,-509.43953931
20180924 00:00:00,6706.81000000,6814.80000000,6325.02000000,6626.57000000,6678.47800000,6811.34400000,6893.09750000,53.36338581,-469.31023760,-501.41367897
20181001 00:00:00,6626.57000000,6697.00000000,6430.00000000,6615.26000000,6541.12800000,6651.77000000,6797.51150000,51.82783227,-450.16831466,-491.16460610
20181008 00:00:00,6615.26000000,6715.60000000,6205.00000000,6339.34000000,6558.83400000,6583.28500000,6747.52900000,47.33380254,-452.05167059,-483.34201900
20181015 00:00:00,6339.34000000,7680.00000000,6300.00000000,6590.11000000,6575.85600000,6611.46300000,6691.32150000,51.72256966,-428.37120393,-472.34785599
20181022 00:00:00,6590.12000000,6639.00000000,6453.00000000,6489.93000000,6532.24200000,6612.70300000,6677.56850000,42.38405134,-412.92797558,-460.46387991
20181029 00:00:00,6489.93000000,6525.00000000,6245.02000000,6485.85000000,6504.09800000,6591.28800000,6679.38050000,33.18052503,-396.44831832,-447.66076759
20181105 00:00:00,6485.85000000,6615.15000000,6355.00000000,6449.81000000,6471.00800000,6506.06800000,6695.02250000,42.77992589,-381.89396214,-434.50740650
20181112 00:00:00,6450.71000000,6498.00000000,5403.42000000,5662.00000000,6335.54000000,6447.18700000,6660.28200000,42.01984882,-428.98415075,-433.40275535
20181119 00:00:00,5661.94000000,5664.00000000,3652.66000000,4085.78000000,5834.67400000,6205.26500000,6528.96600000,28.08400056,-586.72781247,-464.06776678
20181126 00:00:00,4088.69000000,4450.38000000,3689.12000000,4161.01000000,5368.89000000,5950.56600000,6419.36600000,26.08962612,-697.62854103,-510.77992163
20181203 00:00:00,4160.55000000,4179.00000000,3222.00000000,3545.37000000,4780.79400000,5642.44600000,6226.89500000,14.71326427,-825.67727661,-573.75939262
20181210 00:00:00,3548.49000000,3610.00000000,3156.26000000,3228.67000000,4136.56600000,5303.78700000,5977.77850000,17.06846652,-941.85475006,-647.37846411
20181217 00:00:00,3229.22000000,4139.99000000,3216.00000000,3929.71000000,3790.10800000,5062.82400000,5823.05450000,24.42799635,-966.22018082,-711.14680745
20181224 00:00:00,3929.71000000,4198.00000000,3535.00000000,3801.91000000,3733.33400000,4784.00400000,5697.73350000,20.70574194,-984.49372137,-765.81619024
20181231 00:00:00,3803.12000000,4027.71000000,3630.33000000,3987.60000000,3698.65200000,4533.77100000,5573.23700000,23.94603144,-972.77841872,-807.20863593
20190107 00:00:00,3987.62000000,4069.80000000,3441.30000000,3476.81000000,3684.94000000,4232.86700000,5412.07750000,21.79636263,-993.26074947,-844.41905864
20190114 00:00:00,3477.56000000,3720.00000000,3467.02000000,3539.28000000,3747.06200000,3941.81400000,5223.94100000,23.83346479,-993.00558696,-874.13636431
20190121 00:00:00,3539.26000000,3662.94000000,3434.85000000,3550.84000000,3671.28800000,3730.69800000,5088.94250000,20.26881878,-980.56720509,-895.42253246
20190128 00:00:00,3550.05000000,3557.75000000,3349.92000000,3458.11000000,3602.52800000,3667.93100000,4936.59800000,20.29840511,-967.04474402,-909.74697477
20190204 00:00:00,3458.11000000,3733.58000000,3373.10000000,3680.06000000,3541.02000000,3619.83600000,4785.20100000,23.63806850,-927.72435721,-913.34245126
20190211 00:00:00,3679.75000000,3700.11000000,3568.11000000,3667.58000000,3579.17400000,3632.05700000,4637.25150000,23.74318389,-887.34098456,-908.14215792
