Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20250328 05:30:00,85975.72000000,86065.99000000,85841.17000000,85908.79000000,86103.47600000,86443.52000000,86814.20350000,7.342454448155607,-299.1993645779439,-186.77930433426465
20250328 05:45:00,85908.79000000,86204.81000000,85827.97000000,86059.02000000,86064.96600000,86369.42200000,86749.45400000,14.726336276464778,-307.76446006538754,-210.97633548048924
20250328 06:00:00,86059.02000000,86250.00000000,85978.56000000,86209.71000000,86045.83200000,86305.97900000,86701.74750000,23.76758570143238,-298.9468629679177,-228.57044097797493
20250328 06:15:00,86209.72000000,86224.50000000,85917.14000000,86003.58000000,86031.36200000,86227.62100000,86643.44750000,22.384156504464528,-305.0751061198389,-243.8713740063477
20250328 06:30:00,86003.58000000,86018.87000000,85840.47000000,85852.63000000,86006.74600000,86135.44100000,86560.81300000,22.00006618717778,-318.44139228023414,-258.785377661125
20250328 06:45:00,85852.63000000,85969.99000000,85648.25000000,85719.27000000,85968.84200000,86036.15900000,86485.26200000,21.233770036253247,-335.9229966249259,-274.21290145388514
20250328 07:00:00,85719.27000000,85888.60000000,85618.30000000,85709.90000000,85899.01800000,85981.99200000,86409.15650000,19.240114986169417,-346.5386923750484,-288.6780596381178
20250328 07:15:00,85709.90000000,85821.85000000,85571.75000000,85605.58000000,85778.19200000,85912.01200000,86327.03850000,18.7584609527036,-359.2284973943606,-302.7881471893664
20250328 07:30:00,85605.57000000,85628.03000000,85216.02000000,85260.44000000,85629.56400000,85830.46300000,86235.55150000,15.954035395444407,-392.6094158864871,-320.7524009287905
20250328 07:45:00,85260.43000000,85360.00000000,85162.48000000,85212.99000000,85501.63600000,85754.19100000,86146.81250000,16.061596696490398,-418.07356096280273,-340.21663293559294
20250328 08:00:00,85212.98000000,85441.25000000,85161.70000000,85281.69000000,85414.12000000,85691.48100000,86067.50050000,23.307132556117153,-427.7793890315661,-357.72918415478756
20250328 08:15:00,85281.69000000,85381.73000000,85059.97000000,85083.41000000,85288.82200000,85593.92000000,85981.67100000,18.846528418680606,-446.3258994668431,-375.44852721719866
20250328 08:30:00,85083.41000000,85206.41000000,85050.01000000,85174.89000000,85202.68400000,85490.43800000,85898.20850000,25.29014282266759,-448.4727563666529,-390.0533730470895
20250328 08:45:00,85174.88000000,85409.72000000,85163.81000000,85213.87000000,85193.37000000,85411.46700000,85819.54400000,28.38138479001121,-441.93445044638065,-400.4295885269477
20250328 09:00:00,85213.87000000,85246.61000000,85058.20000000,85061.00000000,85162.97200000,85332.30400000,85733.87250000,27.06133823967113,-443.97031389406766,-409.1377336003717
20250328 09:15:00,85061.00000000,85320.00000000,85005.00000000,85320.00000000,85170.63400000,85292.37700000,85664.26800000,31.115846927511114,-419.8449041861895,-411.27916771753524
20250328 09:30:00,85320.00000000,85417.47000000,85200.00000000,85209.83000000,85195.91800000,85242.37000000,85612.18100000,23.909821521761458,-404.94716262946895,-410.012766699922
20250328 09:45:00,85209.83000000,85209.83000000,85052.88000000,85148.00000000,85190.54000000,85196.61200000,85554.31200000,25.85698967210307,-393.5926681034907,-406.7287469806357
20250328 10:00:00,85148.00000000,85250.79000000,85000.15000000,85165.27000000,85180.82000000,85187.09500000,85508.77900000,29.02113269280052,-378.8336462600273,-401.14972683651405
20250328 10:15:00,85165.26000000,85240.21000000,85074.95000000,85240.00000000,85216.62000000,85189.79600000,85471.99350000,34.82929114517029,-356.9917499865405,-392.31813146651933
20250328 10:30:00,85240.00000000,85240.00000000,85093.47000000,85120.41000000,85176.70200000,85173.66800000,85432.57450000,32.55750646522385,-345.35081415990135,-382.9246680051957
20250328 10:45:00,85120.40000000,85120.41000000,84896.00000000,84941.49000000,85123.03400000,85159.47600000,85376.69800000,31.180961341184698,-346.56762154174794,-375.65325871250616
20250328 11:00:00,84941.49000000,85024.48000000,84812.66000000,84817.61000000,85056.95600000,85123.74800000,85307.09300000,35.65175128794972,-353.45363733617705,-371.21333443724035
20250328 11:15:00,84817.61000000,85220.79000000,84800.00000000,85101.20000000,85044.14200000,85112.48100000,85261.97400000,46.858578421729746,-332.19813817413524,-363.4102951846193
20250328 11:30:00,85101.19000000,85206.53000000,84934.00000000,85065.06000000,85009.15400000,85112.88700000,85222.59550000,43.798984387970464,-314.64219850958034,-353.65667584961153
20250328 11:45:00,85065.07000000,85255.26000000,85008.02000000,85255.26000000,85036.12400000,85106.41300000,85199.39500000,54.942052742069805,-282.1292292737053,-339.35118653443027
20250328 12:00:00,85255.25000000,85282.52000000,85142.19000000,85174.74000000,85082.77400000,85102.90400000,85172.63700000,49.99565894344489,-259.8642051798088,-323.453790263506
20250328 12:15:00,85174.74000000,85433.96000000,85103.81000000,85375.58000000,85194.36800000,85125.66200000,85161.13700000,54.2790611521264,-223.43725803866982,-303.45048381853877
20250328 12:30:00,85375.57000000,85609.74000000,84888.00000000,85116.94000000,85197.51600000,85120.82900000,85153.96200000,51.401780165587546,-212.98358426097548,-285.3571039070261
20250328 12:45:00,85116.95000000,85228.24000000,84995.65000000,85028.27000000,85190.15800000,85099.65600000,85144.72600000,42.0073534649505,-209.43961096779094,-270.17360531917905
20250328 13:00:00,85028.27000000,85350.00000000,84973.64000000,85350.00000000,85209.10600000,85122.61500000,85148.14150000,53.44135916132675,-178.6111462968547,-251.8611135147142
20250328 13:15:00,85350.00000000,85546.88000000,85269.34000000,85333.15000000,85240.78800000,85161.78100000,85160.62850000,54.648342764753345,-153.76649567094864,-232.2421899459611
20250328 13:30:00,85333.15000000,85575.68000000,85127.23000000,85304.11000000,85226.49400000,85210.43100000,85167.08950000,53.465213094132764,-134.86557001621986,-212.76686596001284
20250328 13:45:00,85304.11000000,85311.33000000,84904.96000000,84994.00000000,85201.90600000,85199.71100000,85156.09600000,44.50578902229839,-143.25834256575035,-198.86516128116034
20250328 14:00:00,84994.00000000,85120.19000000,84327.42000000,84446.66000000,85085.58400000,85137.87100000,85125.37900000,37.36625576136227,-191.86375305253023,-197.46487963543433
20250328 14:15:00,84446.65000000,84660.06000000,84293.41000000,84361.14000000,84887.81200000,85048.45900000,85077.43600000,38.72261539717126,-234.58054186064692,-204.88801208047684
20250328 14:30:00,84361.14000000,84472.00000000,84162.35000000,84405.20000000,84702.22200000,84971.50500000,85037.20450000,41.72946956783298,-261.8600710765895,-216.28242387969937
20250328 14:45:00,84405.19000000,84418.73000000,84148.80000000,84172.01000000,84475.80200000,84851.14800000,84988.40500000,30.98143561823258,-298.8508125297958,-232.79610160971865
20250328 15:00:00,84172.01000000,84367.48000000,83953.86000000,84305.39000000,84338.08000000,84769.99300000,84945.41100000,35.046395993842665,-313.78645540590514,-248.99417236895596
20250328 15:15:00,84305.58000000,84392.61000000,84039.90000000,84241.25000000,84296.99800000,84691.29100000,84895.47350000,28.9975683815031,-327.02883708484296,-264.60110531213337
20250328 15:30:00,84241.24000000,84530.45000000,84206.00000000,84286.01000000,84281.97200000,84584.89200000,84853.75350000,31.315620177691883,-330.10649980099697,-277.7021842099061
20250328 15:45:00,84286.01000000,84398.17000000,84049.00000000,84051.16000000,84211.16400000,84456.69300000,84809.23700000,22.548377468618753,-347.49034950963687,-291.6598172698522
20250328 16:00:00,84051.15000000,84217.61000000,83890.55000000,83891.33000000,84155.02800000,84315.41500000,84762.92300000,23.511435203395592,-369.9001423068985,-307.30788227726146
